學校名稱,計畫名稱,計畫場域,計畫經費 (TWD),SROI 指標與成效,執行重點與特色,資料來源
臺北醫學大學,都會長照青銀創生永續：建構高齡健康失智友善101生態圈,臺北市信義區三張里、四維里、安康里、惠安里、中行里、泰和里、雙和里、石頭湯社區整合照顧服務中心、失智社區服務據點,"7,150,000",SROI 值為 2.17(每投入1元創造2.17元價值)。量化成效：舉辦 90 場社區活動，長者參與達 3941 人次；步態分析檢測 114 人；成功媒合青銀共居 7 案。,五大子計畫(智慧科技、青銀共造、健康照顧、失智照護、國際夥伴)。導入 AI 步態分析與 VR 失智模擬體驗。特色包含「青銀共餐」、「青銀共居」及開發「銀友繪」跨文化教材與多國語言衛教片。,99
長庚科技大學,在地扎根‧社會共生－教養賦能計畫,桃園市龜山區文欣國小、大埔國小附設幼兒園、大崗國小附設幼兒園、樂善國小、桃園區桃花源青年領袖協會、嶺頂社區、龜山親子館、龍寶貝親子館,"3,025,000",量化指標達標率100%。師生自製教具獲20件專利；學生參加發明競賽獲15件獎項(含綠點子國際賽金、銀牌)。研究顯示小學生對長者態度及自創桌遊有顯著正向成效。,兩大核心：在地兒童優質照護與代間共融教育。師生研發情境繪本與互動教具。執行亮點包含「特殊兒親子藝術喘息」、「青銀共育做公益(縫製束口袋送偏鄉)」、自編戲劇巡演及品德教育扎根活動。,100
國立屏東大學,屏東地方創生式：共學、共作與共生實踐計畫,屏東縣瑪家鄉（桃布里文化創作空間）、枋寮鄉（三魚直賣所、新龍社區、百生文創）、屏東市（屏東數位青創中心、屏東勝利商圈發展協會）,"3,025,000",新增採用社會報酬分析法 (SROI) 進行計畫效益評估，針對微學分課程回收學生問卷進行分析，作為衡量社會、環境及經濟所創造價值之依據。,以共學、共作、共生為三大主軸。校內推動「地方創生士學分學程」與「阿緱創生講堂」，校外協助地方政府撰寫創生計畫、提供文化發展與產業經營諮詢。亮點包含跨校交流及與日本弘前大學合作出版《後地方創生》。,101
國立屏東大學,朱雀先驅：屏東偏鄉三師共學模式,屏東縣佳冬鄉（佳冬國小、玉光國小）、枋寮鄉（東海國小）、恆春鎮（水泉國小）、瑪家鄉（佳義國小）、三地門鄉（地磨兒國小）,"3,025,000",採用 PDCA 成效評估機制。鄉村教育學分學程累計 401 人申請，57 名修畢，其中 29 名成為正式教師。榮獲 2024 年 TSAA 台灣永續行動獎銀獎及《遠見》USR 楷模獎。,以「三師共學」（大學教師、小學教師、師資生）為核心。特色包含發展適用鄉村學校的數位教材（57 套情境式數學）、辦理「迎曦書院夏日樂學」營隊、以及前往馬來西亞與印尼進行境外移地教學。,102
國立臺中科技大學,智慧創新樂齡共融長照屋,臺中市西區（C 據點長照站）,"2,750,000",預期成果達成率 100%。長輩對活動整體滿意度非常滿意皆達 50% 以上。學生志工取得訓練證明，並協助開發膝關節輔助裝置（獲專利 I854929 號）。,導入智慧醫療照護與 AIoT 技術。研發智慧寵物屋、智慧餵食器、魚菜共生系統與跌倒偵測系統。辦理「老幼共學自救營」，推動青銀共融。跨域結合中護健康學院與智慧產業學院資源。,103
國立臺灣大學,臺大•山林•學院,南投縣信義鄉（國立臺灣大學實驗林管理處）、仁愛鄉（國立臺灣大學山地農場）,"3,300,000",培力 166 位木工技術人才及 172 位林下經濟人才。完成 10 種賽德克族民俗植物復育、28 種原生小米品系分析。問卷顯示 90% 以上參與者認為有助於留住青年與增進地方創生。,聚焦民族作物保種、林下經濟技術培訓與木工技藝傳承。亮點包含石虎復育野放（2 隻）、家屋修繕工作坊活化傳統建築、以及開發里山低碳旅遊路線與原民文創商品（馬克杯與杯墊）。,104
臺北醫學大學,以街區經濟為根基之中草藥文化復振與創新,臺北市大同區（大稻埕）,"3,025,000","根據 SROI 評估工具計算，計畫今年度貨幣價值合計約 7,061,500 元，得出 SROI 值為 2.5（即每投入 1 元產生 2.5 元投資報酬）。",結合中藥學程與在地 150 間中藥舖。特色包含開發 VR 抓藥軟體、草藥生活 APP、參與大稻埕國際藝術節演出崑曲《長生殿》，以及完成 16.5 萬餘字黃玉階日記數位化建檔與大稻埕口述歷史研究。,105
中山醫學大學,跨域培力，共創樂活,固定場域：臺中市石岡社區及農會、臺中市南區社區據點,"3,500,000",利用成發及課後問卷設計量化及質性評量回收成果數據，並分析評估進行滾動式調整。透過肌力、握力、行走速度等前後測分析長者健康成效。,以LOHAS六元素為核心理念，建構樂活石岡。重點包含：多元跨域課程提升師生社責能力、高齡吞嚥-營養-肌少培力活動、國際交流連結及跨專業健康老化服務模式之孵育。,106
國立臺北大學,前瞻超高齡的大學3E行動計畫：Establishment、Engagement、and Empowerment,固定場域：新北市三峽區、樹林區、土城區、鶯歌區（北大周邊居民及長者據點）,"7,480,000",學老誌讀者對高齡教育價值滿意度超過95%。學生對高齡議題參與度提升，長者社會參與與健康促進獲得肯定。,以5S3E為核心，推動學老文化與跨世代共學。重點包含：設立高齡與社區研究中心、發行《學老誌》、推動學生自主高齡服務方案，以及育成樂齡團體。,107
嶺東科技大學,智機減碳，從嶺做起：碳盤輔導人才培育,固定場域：台中精密機械科技園區、春安國小、雲林口湖沁窟丫腳文創協會、典銘企業社、泰穎精工、育洲有限公司、泰昇工業,"2,750,000",以SROI衡量步驟進行，辨識利害關係人並透過質化研究、訪談與觀察掌握改變成果。113年輔導10家廠家完成碳盤報告，並有教師與學生取得多項專業認證。,建構碳盤輔導與教育團隊，發展低成本AIoT溫室氣體與用電資訊整合架構，以及STEAM志工團隊推廣「節能減碳、從幼苗做起」國小互動教材。,108
文藻外語大學,「SDGs」看見需要·千手扶學 「第二期計畫主案：USR-hub 看見需要·千手扶學計畫」,固定場域：高雄五權、南安、博愛、龍山、龍肚、吉東、吉洋、嶺口、甲仙國小；臺南賢北國小；屏東新豐、崎峰國小；臺東新園國小等,"2,750,000",運用SROI評估：注音學習陪伴活動SROI值為4.11，藝術陪伴活動SROI值為4.19。顯示計畫具備良好組織效能與社會影響力。,落實教育平權，針對都市與偏鄉弱勢學童開發多元扶學與藝術陪伴。應用AI機器人、AR繪本、虛擬網紅等創新科技設計教材，並進行跨域人才培育。,109
東吳大學,文化永續‧城市創生：士林學之建構,固定場域：臺北市士林區（芝山岩地區、新街、舊街、天母、洲美、社子及三腳渡）,"7,250,000",針對每一次活動設計滿意度調查，並於學期末對學生進行課堂反映問卷。透過士林學研討會、繪本、AR虛擬實境等讓士林學意向具體化。,由下而上建構「士林學」。特色包含：口述歷史訪談、福德洋圳意象牆設置、與地方高中合作開設文史課程、舉辦士林百年特展，推動城市創生。,110
中原大學,永續社區環保公益博物館串聯計劃,桃園市中壢生活圈、環保公益博物館（木匠的家關懷協會）,"2,750,000",本計畫以 SROI 評估影響力，衡量人才培育（含在地產業創新、永續教育發展、在地跨組織協力、成員及學生培育）及在地需求（含社區永續教育）等關鍵指標成效。,從「教學促進」及「社區永續」二層面，建立中壢生活圈的永續教育基地，透過「再用就好」理念推動地方再造，並組織跨域教學團隊與發展在地特色課程。,111
中華科技大學,”原“創教育–原民技藝文化推廣,宜蘭縣羅東高商、南澳鄉金岳部落、寒溪部落,"2,750,000",透過教學意見調查、數位保存教材評估問卷與半結構式訪談評估。輔導之「原紡教具團隊」成功入圍 U-start 原漾計畫第一階段。,建立易用性高且重現性高的原民技藝教學教具，透過田野調查與工作坊產出原民創意與創業團隊，整理完成族語數位保存教材。,112
國立臺灣大學,文化｜健康：文化安全健康促進推動整合計畫,花蓮縣豐濱鄉文化健康站、社區發展協會、部落健康營造中心,"2,750,000",以 USR 推動中心之成效考核為架構，蒐集量性與質性資料。夥伴部落問卷回收率達 90%，工作坊參與者回覆率為 76%，顯著提升文化安全意識。,致力提出具部落主體性的健康促進方案，推動《原住民族健康法》相關議題，辦理文化安全課程與工作坊，並推動學生至部落見實習。,113
長榮大學,綠色社區根與芽行動計畫-從在地到國際,臺南市大武崙社區、二仁溪流域、巴克禮紀念公園；坦尚尼亞 Arusha、史瓦帝尼 Mbabane,"7,700,000",IPSD 學生 SROI 結算為 15.4 倍；巴克禮紀念公園推動環境教育之 SROI 為 2.1 倍。,建立綠色循環社區、營造巴克禮紀念公園、促進國際連結。實踐「台灣經驗・非洲實踐」，推動 Care 計畫、生物炭及 Keyhole garden 等跨國行動。,114
高雄醫學大學,永續不只一夏－那瑪夏及國際原鄉永續發展計畫,高雄市那瑪夏區（那瑪夏國中、民生/民權國小）、越南河內、菲律賓東/南達沃,"9,900,000",採用新跨文化敏感度(學生)與需求評估(居民)量表評估成效。計畫榮獲《遠見》USR 大學社會責任獎人才共學組楷模獎。,深耕那瑪夏原鄉八年夥伴關係。推動醫藝相陪、整全安心就醫網、長照人力增能、公民生態學家特色課程及無國界地方創生人才培育。,115
國立中正大學,共創長者幸福人生：科際整合人權實踐方案,大林慈濟醫院、溪口互助家庭、安平記憶保養班、和美記憶保養班、新動能社會工作師事務所、嘉義市西區樂齡學習中心、嘉義縣樂齡學習示範中心、新港素園長照站、不可無料劇場、奇秘工作室、古坑國際心靈生態村及多處居家醫療點,"3,300,000","校內訂有SROI評估標準；處理長者人權個案超過3千人次，減少訟爭之經濟效益預估超過1,500萬元。",人才培育（長者人權門診跨域學分學程）、在地鏈結（社會處方箋）、社會教育（桌遊、Podcast、紀錄片）。全國首創連續8年執行醫法合作「長者人權門診」。,116
國立中興大學,浪愛無國界：流浪動物減量與福祉實踐,國內：犬山居、月園流浪動物照護協會、臺中動物之家后里園區、浪愛回家救護協會、彰化/雲林/苗栗/金門偏鄉。國外：越南河內救援站、泰國國家農業大學、關島大學、GAIN收容所。,"10,450,000",嘗試擬定SROI系統評估整體成效；完成1335隻犬貓絕育(達成率133.5%)、1959隻疫苗施打(196%)、148隻弱勢動物醫療(123%)。,引入美國收容動物醫學、絕育模組輸出越南與關島、設立動物福祉學分學程。特色為國際合作、偏鄉絕育及浪浪樂活醫療室。,117
國立高雄科技大學,竹夢樂學＋遊活園田,屏東縣竹田鄉：屏東農夫青草園、天使農業科技、竹田鄉公所、原龍農產品運銷合作社、竹田鄉立圖書館、竹田國中小、竹田車站、泰美親子圖書館、客家文化中心。國外：越南芽莊大學、Phuoc Hai 3 Primary School。,"2,750,000",透過7項指標擴散效應評估，113年度34向量化指標達成率平均高達155%。包含觀光形象加值、行銷科技推廣、農業價值再造等。,形塑竹田觀光角色、開發AR遊竹田APP、研發環保香蕉紙果乾包裝(獲多國設計金獎)、推動台越跨境科普教育交流。,118
大仁科技大學,三生三化三十里高樹-智慧低碳農業心vs.科技老幼關懷情,屏東縣高樹鄉：善導書院、新豐休閒園區、新豐社區發展協會、東興社區、新南社區、阿九鳳梨農場、銀獅農莊、高樹國中小、鳳成幼兒園。,"2,750,000",採用IOPOE操作模式及Notion API即時管控成效指標。113年度量化指標達成率多項達100%或超標。社區對產業價值評價高(M=4.53)。,智慧有機循環農業模型廠(黑水虻技術)、研發智慧排熱防護衣、導入營養篩檢聊天機器人、AR食農教育體驗、職農故事行銷。,119
銘傳大學,龜旅價值共創-從文化走讀到土地連結,桃園市龜山區：移民博物館週邊文化館舍區(憲光二村、眷村故事館、曹家洋樓)、楓樹坑楓茶米農村社區、大棟山風景區、嶺頂壽山巖觀音寺。,"3,025,000",設定34向量化指標達成率平均155%。遊客對山山山市集整體滿意度高(M=4.33)，99%支持環保訴求。,辦理山山山環保市集、嶺頂廟實境解謎遊戲開發、農村廚房培力(農鮮合肚餐盒)、文化故事箱進校園、自導式旅遊地圖設計。,120
國立暨南國際大學,綠色水沙連永續價值與人才培育升級計畫：科技x循環x淨零,國內：南投縣埔里鎮（蜈蚣社區、一新社區、最佳主茭農場、傻農老爹農場、宏基生態養蜂場、愛蘭國小、枇杷社區、吟詩綠曲休閒園區、蔬菜產銷班第25及16班、明潭國小、伊達邵國小、魚池國小、一新社區白魚避難池）、國姓鄉（北山國中）、彰化市（白魚避難池）；國外：柬埔寨實居省莫西縣,"10,450,000","資料未提及具體 SROI 數值。成效包含：農業示範區每年減少 32.7 萬度電量與 165.8 噸碳排量；節水場域省水近 9,910 公噸（約 9.9%）；於柬埔寨建置簡易淨水設備嘉惠 1,714 位師生。",以「公民參與」、「科技應用」、「減碳節能」及「循環經濟」為機制。特色包括 LED 燈照茭白筍節電示範、智慧化水技術、生物炭資材再利用，以及永續環境經營管理學分學程之人才培育。,121
國立清華大學,永續發展教育的跨領域韌性整合與社會實踐--以南寮沿海社區與自然谷為里山海實踐場域,新竹市南寮地區（康樂里、舊港里、海濱里、港北里）、香山濕地（港南里、海山社區、大庄國小）、新竹縣芎林鄉自然谷環境信託基地、宜蘭港口社區、雙溪註腳雙溪。,"2,750,000 (不含自籌款)",資料未提及具體 SROI 數值。成效包括：協助大庄國小獲得台美生態學校銅牌；推動舊港島低碳生態旅遊；愛恆樂活園土耕生菜育苗成功；113 年度環教/ESD 活動參與達 2000 人次。,建立「跨領域 ESD 聯結在地」USR 品牌。核心特色為 ESDxESG 推動中心、舊港島音樂祭（地創講座）、蚵學園區（深化香山風土認識）、台美生態學校夥伴計畫，以及與日本早稻田大學之國際移地教學。,122
弘光科技大學,中部沿海邁向低碳、綠能與韌性生態社區共築計畫,臺中市沙鹿區（興安、竹林、公明、晉江、鹿寮、南勢、西勢寮社區）、梧棲區（下寮、大庄、草湳社區、中正國小）、清水區（秀水、高東、橋頭社區）、大肚區（山陽社區）、龍井區（山腳社區）、外埔區（忘憂谷）、彰化縣（和美中學、線西國中、漢寶村）。,"3,025,000","資料未提及具體 SROI 數值。成效包括：建置 285 站即時空品監測網；裝置 28 座風光互補綠能路燈，每年節省約 44,762 度電及減碳 22.3 噸；輔導興安社區獲得衛福部社區金點獎。",建構海線藍天守護網（空污即時 APP）。核心特色為師生研發之專利風光綠能互補路燈；組織產業界專家節能輔導團進行社區用電診斷；將廢棄荒地變身綠能環保公園（如興安綠光尋夢園）。,123
慈濟大學,社區健康領航員-跨族群健康upup計畫,花蓮縣秀林鄉（佳民文化健康站、加灣部落、水源文化健康站、三棧、秀林失智據點）、花蓮市（碧雲莊社區、民生社區、吉寶竿文化健康站、福境宮）、民廉國小。,"3,544,059",學生在「五力」指標（文化、倡銷、社會、健教、設計）平均值顯著增加 (p<0.001)，其中設計力提升最顯著。運動處方輔導顯著改善長者體力與體重；培訓 20 名社區領航員，服務 558 人次。,以「文化力導向健康促進五力」為核心。特色包括開發符合文化情境之衛教桌遊、製作典範人物繪本、推動北歐健走杖與運動處方；協助碧雲莊社區運作「時間銀行」與雲幣系統。,124
慈濟科技大學,有機淨零新農業-光復萬榮產銷班青銀共創計畫,花蓮縣光復鄉（原鄉星果雜糧產銷班）、萬榮鄉（雜糧產銷班第一、二班）、國福社區（撒固兒部落）、富里鄉（銀川永續農場）、重光社區（泥妲咖啡）。,"3,324,700",資料未提及具體 SROI 數值。成效包括：輔導印加果油與銀川白米取得碳足跡認證；展售活動實體營收 21.9 萬元，網路營收破 97.7 萬元；咖啡產品質量提升獲 Coffee Review 85 分以上佳績。,青銀共創與數位轉型。特色為建置「花蓮小農好物網」及「洄瀾系」網頁；推動農產品碳足跡認證與農廢（稻殼）循環利用；開發永續旅遊遊程。榮獲 2024 亞太永續博覽會「綠色設計金獎」。,125
中國科技大學,台北市黎安里社區微旅行-邀約鳥語、花香、人情為伴,台北市信義區黎安里、台北鳥會野鳥救傷中心、文山區志清國小、信義區吳興國小、大安區銘傳國小,"2,750,000",修課學生1444位，參與老師10位，活動參與學生1479人次，合作社群4間，參與社區實踐活動95位。開發在地關懷、環境探索、野鳥救傷及社區創意課程模組。,以「社區微旅行」行銷概念鏈結野鳥與社區，建置微旅行網路地圖。開發野鳥救傷宣導模組及彩繪美化社區空間。推動公民科學家實踐，進行國小生態教育宣導。,126
台南應用科技大學,志在琉鄉-全島啟動˙價值再造,屏東縣琉球鄉、東港鎮、大鵬灣國家風景區、嘉義市、車城鄉,"6,380,000",計畫參與老師52位，參與設計季學生2823人次。推動環保茄芷袋近兩千個。取得5項設計專利，獲2024金點新秀設計獎及第八屆法藍瓷想像計畫執行基金。,四大執行面向：扎根教育(小尖兵課程)、環保減塑(茄芷袋)、生態保育(海龜教材)、旅遊提升。特色亮點包含「小琉球設計季」跨域學習及「iToys」創新創業團隊培育。,127
國立嘉義大學,跨域STEAM 雙語+E 共譜嘉鄉好樂章,嘉義縣中埔鄉、竹崎鄉、東石鄉、義竹鄉、梅山鄉、新港鄉、彰化縣秀水鄉、桃園市鹿港區、新北市、泰國、日本,"1,385,000 (含自籌款)",修課學生37位，場域經營10所學校。平均滿意度9.4分。學生團隊榮獲全國自然科學辯論競賽銅牌、第八屆台北金鵰微電影展「永續微電影獎」銀獎。,採用芬蘭STEAM教育流程，結合AI繪圖(Ideogram)與雙語教學。開發雙語條碼單字卡、無人機操作課程及地科礦物桌遊「掘跡者」。推動EMI微課程及跨國教育論壇。,128
敏實科技大學,青山綠水好茶庄：台三線茶產業智慧種植、環境永續與創新商業應用實踐計畫,新竹縣芎林鄉、寶山鄉、峨眉鄉、苗栗縣銅鑼鄉、頭份鎮、桃園市復興區,"3,000,000",合計61場活動，共1634人參與。輔導6家企業碳盤查，爭取外部經費逾120萬元。70%同仁取得碳盤查種子認證。師生獲2024WCC馬來西亞廚藝大賽特金與四金。,五大子計畫：創生共學平台、精品茶葉科技(AIoT智慧農業)、食農教育(茶巧克力開發)、智慧旅遊、ESG碳中和推展。產學攜手串聯台三線茶產業，協助在地小農數位轉型。,129
華梵大學,乘龍風蘊耀大崙，古道帶動旅創新生命：淡蘭古道為主軸的地方創生實踐,新北市石碇區崩山-玉桂嶺地域(潭邊里、彭山里、豐田里),"2,750,000",辦理51場活動，初訪人次逾800人。景美溪流域展覽吸引1200人。培育120位修課學生，舉行10場教師交流與18場專家講座。訊息獲12家媒體報導。,以淡蘭古道「文山東線」為軸心，設立「旅創學堂」作為創新基地。推動藝術介入地方，舉辦磨石霞光宴、古道送燈節。提出騰龍步道系統與石碇品牌茶會等創生願景。,130
國立臺灣師範大學,臺灣心連新-運用前瞻科技提昇新住民及其子女華語文能力及雙語師資培育計畫,臺北市文山區萬福國小、臺北市文山區明道國小、桃園市桃園區建德國小，以及全台共 215 間合作國中小。,"2,750,000","本計畫質性與量化指標均已達成，成效評估以質性與量化資料並重。量化指標包含新住民一代華語輔導 10,000 人次、二代 20,000 人次、雙語師資培育 1,000 人次等。80% 之新住民學生可於一學期內提升 TOCFL 華語能力測驗一個等級。",核心特色包含族群創生（培育新住民為專業雙語教師）、運用前瞻科技工具（COOL Chinese 華語尖端科技平台）、建立跨國數位華語教學平台，以及開發「跨語言與文化生字生詞圖卡」。榮獲 2024 年台灣永續行動獎金獎。,131
國立臺灣海洋大學,雲林四口，里海漁鄉-低碳×創生×永續×關懷計畫,雲林縣四湖鄉、口湖鄉，以及國立臺灣海洋大學校園。,"3,162,500","採用 OKR (目標與關鍵成果) 評估。成效包含：成立北港農工水產養殖社團、規劃 3 處「牡蠣殼文蛤殼暫置場」、辦理 145 場場域活動、累計參與 3,471 人次、完成 3 次在地生產者養殖轉型輔導。",推動里海漁鄉六級產業化。核心模組包含：低碳智慧養殖與人才培育、沿近海責任制漁業與廢棄物再利用、食魚文化與觀光產業永續發展。特色亮點為建立「海洋永續資源教室」及設置海廢藝術牆。,132
崑山科技大學,永保安康Going Green-從在地邁向國際綠色關懷,臺南永康工業區及鄰近區域、臺東、雲林、嘉義夥伴學校，以及越南、泰國、印尼國際場域。,"8,260,000","量化指標包含：提升廢水處理效能 (COD/SS 去除率 10~30%)、協助節電累計 602 萬度（減少 CO2 排放約 1,962 公噸）、降低空污懸浮微粒濃度 17%、培育跨域人才 1,340 位。",以「廢水減污再生」、「節電淨零減排」、「智慧空污防制」為三大主軸。特色亮點為研發 3D 掃描式光達系統及智慧型污染監控系統，並在越南、印尼、泰國推動技術移轉與人才培育。,133
東海大學,大肚山地方教育創生2.0,臺中市龍井區（四箴國中、龍峰國小、磐頂教會）、大肚區（瑞峰國小、樹和教育基金會、天恩社區關懷協會）。,"3,400,000","開設 11 門課程培育 220 位學生。成效指標包含：螺旋課程實施 13 班、移轉 3 個螺旋式課程至國小校訂課程、辦理 8 場青年培力學堂、嘉年華吸引超過 3,000 人參與。",核心特色包含建立「以在地為基的螺旋式課程」移轉機制、大肚山地方知識平台紀錄、青年培力學堂發掘留返鄉青年，以及舉辦大肚山社區嘉年華打造地方品牌。,134
正修科技大學,蕉傲•大旗山典範創新合作生產實踐計畫,高雄市旗山區（旗美高中、旗山社福中心、弍玖農社）、杉林區（杉林親子館）、甲仙區（小奇芋冰老店）。,"3,025,000","開設 48 門課程人次達 2,161。成效包含：培訓 56 名琵鷺青年工作隊學員、輔導 33 位在地青年、營造 5 處村落教室、協助小農營收增長，並連續兩年榮獲亞太暨台灣永續行動獎銀獎。",三大執行策略：無藩籬。村落教室（弱勢照顧）、人才扎根。旗山學（地方知識轉譯）、永續。弍玖農社（農產展銷平台）。特色為建置「弍玖農社」USR 基地及研發木質音箱輔具。,135
國立屏東科技大學,里山根經濟-林下經濟、生態旅遊的軸帶深耕與農林地碳匯人才培育,屏東縣霧台鄉（阿禮、神山、佳暮部落）、高雄市六龜區（十八羅漢山）、屏東縣牡丹鄉（高士、東源、旭海部落）、苗栗縣明德社區、嘉義縣公興社區,"8,250,000","土壤碳匯量測（家庭農園最高達每公頃70.5噸）；媒體露出105篇；培育60名農林地碳匯量測人才；創造牡丹山林雞產值約1,588萬。計畫提及未來第四期將配合SROI進行社會價值評估。",以里山倡議為核心，整合林下經濟、混農林業與生態旅遊。特色包含深化林下養蜂技術、建立混農林業碳匯方法學、催生臺灣生態旅遊與地方創生聯盟 (TERRA)、推動家庭農園保種與市集。,"136, 137"
國立臺北護理健康大學,鏈結資源永續健康-「北護護你健康、青銀共好深耕計畫」,臺北市北投區（湖山里、清江里、振華里）、萬華區（新忠里、新南里）、新北市鶯歌區、雲林縣莿桐鄉,"7,150,000","參與社區實踐活動750位；開設22門課程觸及1,113位學生；路跑社成員生理指標提升（肌力提升3.5公斤、心肺耐力提升4.3分）。計畫提及第四期將配合SROI方式進行社會價值評估。",五大深耕主軸：高齡價值、長照職能、高齡專業、健康產業、校園永續教育。特色包含青銀共跑訓練、社交處方箋導入、長照社會企業師徒制、智慧賦能科技應用。,137
國立高雄師範大學,小民再造 市集再生,高雄市左營區瑞豐夜市、前鎮區前鎮夜市,"4,000,000",夜市客流量增加約20%；攤商營業額提升20%以上；開發中英越三語菜單；建立智能化管理系統（行動支付、外送平台導入）。,推動傳統夜市轉型觀光夜市。特色包含設置打卡熱點、表演舞台與共食區；設計「洄游」品牌形象招牌；導入智慧點餐與多語言服務方案；強化夜間經濟收益。,138
國立臺灣海洋大學,智慧樂活水產村,宜蘭縣頭城鎮、壯圍鄉、五結鄉、礁溪鄉、蘇澳鎮之養殖漁業生產區與沿海社區；羅東鎮國立羅東高級商業職業學校。,"7,800,000",透過問卷調查法執行成效評估，回收 76 份有效問卷。各項計畫在校務治理、人才培育及在地需求三大構面中，均獲得近七成以上的滿意度。提升產值約 1.3 倍，觀光漁場遊客數增加超過 4 倍。,以「新世代智慧養殖技術推廣與人才培育」、「水產品加值與創新行銷」及「樂活里海漁村永續經營模式之建立」為核心。導入益生菌與智慧監控技術、開發食魚教育教材、建立海廢戰塑團隊及漁村文化體驗行程。,139
國立屏東科技大學,國境南灣飛夢園,高雄市岡山區（空軍軍史館、航空教育館、醒村文化保留區）、高雄市內門區（實踐大學無人機考照場）、屏東縣內埔鄉（屏科大永續研發中心、原野農場）,"2,750,000 (核定總經費：補助款 2,500,000 + 配合款 250,000)",社會投資報酬率 SROI 至少為 2.09,創設「阿公店溪學院」虛擬平台推廣科普；開設航空科學與綠能永續微學程；推動無人機證照培訓（獲照93張）；結合眷村文化保留與地方創生。,140
國立臺南大學,幸福集氣，讓愛延續,臺南市東區（PTWA特教樂塾）、臺南市北區（大光國小）、南投縣南投市（南投國小）、澎湖縣馬公市（馬公國小）、花蓮縣玉里鎮（玉里國小）、高雄市苓雅區（高雄特殊教育學校）,"2,750,000 (核定總經費：補助款 2,500,000 + 配合款 250,000)",未提供量化 SROI 數值。質化成效包含建立 ARCS 與 PDCA 成效評估機制，服務人次逾 3000 人，影片瀏覽 31 萬人。,以自造者（Maker）精神研發低成本自製輔具；推動「授人以漁」模式培訓特教老師與家長；建立 Virtual Link 虛擬鏈結提供線上教材；跨域合作開發音樂輔具與 AI 代言系統。,141
國立臺灣海洋大學,打造國際旅遊島-智慧共享經濟與永續實踐,基隆市中正區（和平島）,"7,150,000 (核定總經費：補助款 6,500,000 + 配合款 650,000)",未提供量化 SROI 數值。質化成效包含建立永續發展成效評估系統，並進行校務治理、人才培育、地方需求及國際連結四層面評估。,成立市海再生平台對接政府資源；推廣海洋休閒運動與淨海行動；開發海藻特色商品與供應鏈；建置 XR 虛擬展廳與 AR 觀光導覽；辦理台日森川海地方創生交流。,142
健行科技大學,陽光樂活、綠能永續扎根計畫,桃園市復興區：羅浮高級中等學校及羅浮國民小學,"2,750,000",資料未提供具體 SROI 數值。成效指標包含：乙級技術士及格 15 人（通過率 71.4%）、建置 5.4kWp 防災型太陽光電系統、產業聯盟會議參與廠商 30 家、科普活動參與師生 96 人次、研習營參與 176 人次。,推動太陽光電科技教育普及與技術提升。核心特色包含：開設綠能教育課程、辦理技術士乙級證照訓練、建立偏鄉示範性防災太陽光電系統、成立區域產業推動聯盟，以及推廣綠能科普教育深入社區。,143
國立勤益科技大學,中臺灣菇類產業創生與永續經營提升計畫,臺中市新社區（農會、鎮隆農場、玉山香菇行、大發農場、森沐農場、慶西里、協成里、崑山里、永源里菇寮）、南投縣南投市（禾生菇菌場）,"7,480,000",透過 SROI 評估社會影響力。關鍵績效包含：增加產業價值 360 萬元、培育人才 1501 人、完成 23 次產業輔導、剪柄機效能提升 1.5 倍、曝光率達 4.9 萬點閱率、農遊體驗 340 人次、學生學習品質認同度 4.5 分以上。,解決菇類產業因氣候變遷與勞動力下降之困境。核心特色包含：開發三代自動剪柄機並實質落地、架設感測器縮短走菌時間、推動廢棄太空包生質能發電、開發銀髮族菇類增肌食譜與特色教材、建構品牌數位行銷平台。,144
國立屏東科技大學,沿山 185 熱帶有機廊道-農業數位轉型及生態系建構之 USR 實踐計畫,屏東縣萬巒鄉（乾坤有機生態農場、可茵山可可莊園）、六堆雅歌園有機教育農場、海倫自然農莊,"3,025,000",規劃自執行第 3 年（114 年）進行 SROI 利害關係人成果描繪。目前量化成效：修課學生 476 人次、完成 11 組參賽獲獎、FB/IG 粉絲專頁觸及 8.8 萬人次、輔導 5 家農場行銷、完成 40 項自訂績效指標且達成率 100%。,建立智慧熱帶有機農業生態系。特色包含：有機農業生產優化（東方果實蠅天敵調查）、智慧農業技術導入（開發 AIoT 果實蠅計數與監測系統）、商品化行銷型塑（品牌包裝設計、辦理 U-Life 市集與農夫市集）。,145
國立成功大學,長短樹下的微風-環境療癒場域之建構,臺南市後壁區：頂長社區、新東社區、長短樹里、新東里；日本奈良縣明日香村,"3,025,000",資料未提供具體 SROI 數值。成效指標包含：開設 12 門課程、修課學生 381 人次、完成 18 件環境改造提案（如東苳之丘、田園之境）、建立跨校協作平台與國際 MOU（日本畿央大學、德國 TU Darmstadt）、舉辦 4 場密集實作工作坊。,以「地、產、人」為主軸打造藝術生態社區。核心特色：串聯療癒環境（活化閒置空間、木構築實作）、推廣特色產業（黑豆產業品牌化、行銷文青療癒生態村）、建構社區網絡（推動世代共融、舉辦青銀共遊音樂會、國際工作營）。,146
